geoid,aland20,awater20,lat20,lon20,name,land_acre
40131059001,810169,0,33.5507363,-112.1264803,Alhambra,200.1968107
40131057011,631843,0,33.564039,-112.1472814,North Mountain,156.1315645
40131057021,646106,0,33.5639171,-112.1385784,North Mountain,159.6560231
40131058001,649353,0,33.5494482,-112.1385996,Alhambra,160.4583731
40131093002,480788,0,33.4991892,-112.1652533,Maryvale,118.8051187
40131059002,814467,0,33.5430778,-112.1299816,Alhambra,201.258868
40131092001,1302759,0,33.4998505,-112.1458673,Maryvale,321.9182627
40131093001,1861978,0,33.5026669,-112.1581299,Maryvale,460.1040737
40131093003,226778,0,33.5047816,-112.1666715,Maryvale,56.03797769
40131157002,654611,0,33.3959212,-112.0948644,South Mountain,161.7576512
40131095001,652792,0,33.5058557,-112.1907172,Maryvale,161.3081672
40131152002,1269167,6817,33.4089351,-111.9996952,South Mountain,313.6175115
40131153001,1784972,0,33.4118346,-112.0386339,South Mountain,441.0755061
40131154001,1326212,2970,33.4151379,-112.0709315,South Mountain,327.7136163
40131154002,1178422,81509,33.4130148,-112.0778885,South Mountain,291.1939683
40131155001,1302549,0,33.4030261,-112.1422787,Laveen,321.8663706
40131156001,1277234,0,33.3994509,-112.1120908,South Mountain,315.6109076
40131158011,644411,0,33.4031486,-112.0689695,South Mountain,159.2371802
40131158022,640525,0,33.3958488,-112.0775936,South Mountain,158.2769301
40131042122,800968,0,33.6010607,-112.1378267,North Mountain,197.9231976
40131042124,932588,0,33.6071096,-112.1423043,North Mountain,230.4471577
40131063004,653630,0,33.5418841,-112.0607275,Camelback East,161.5152412
40131061001,774682,0,33.5486013,-112.0869773,Alhambra,191.4277956
40131061002,627968,0,33.5494184,-112.0954302,Alhambra,155.1740326
40131061003,440501,0,33.5429737,-112.0960991,Alhambra,108.8499996
40131061005,189310,0,33.5403561,-112.0936733,Alhambra,46.77944755
40131062001,1301002,0,33.5455961,-112.0781693,Alhambra,321.4840992
40131062002,1293011,0,33.5455265,-112.0694832,Alhambra,319.5094832
40131063001,619942,822,33.5499894,-112.0526068,Camelback East,153.1907679
40131095002,1216363,24992,33.4981668,-112.1908256,Maryvale,300.5693791
40131096013,400236,0,33.4995744,-112.2340939,Maryvale,98.90031678
40131106003,438939,0,33.4922662,-112.0607559,Encanto,108.4640216
40131096021,475008,0,33.5030885,-112.2172123,Maryvale,117.3768518
40131097021,677574,0,33.490777,-112.2332312,Maryvale,167.4319233
40131100022,559979,4560,33.4909367,-112.1581002,Maryvale,138.3736108
