geoid20,aland20,awater20,lat20,lon20,name,land_acre
4.01361E+13,43619,3534,33.6827644,-112.084331,Deer Valley,10.778473
4.01312E+13,938958,7129,33.3170002,-112.0748718,Ahwatukee Foothills,232.0212166
4.0131E+13,11285,208,33.5693811,-112.117563,North Mountain,2.788579925
4.01312E+13,9569,4998,33.5037144,-112.0726718,Encanto,2.364547745
4.01311E+13,527482,15380,33.4031877,-112.1745866,Laveen,130.3434396
4.01361E+13,20015454,2618,33.7526141,-112.0901571,Desert View,4945.918761
4.01311E+13,50205,1147,33.5006316,-112.0552911,Camelback East,12.40590653
4.01311E+13,66445,5148,33.5015601,-112.0583267,Camelback East,16.41889173
4.01311E+13,45595,4560,33.4889043,-112.1560105,Maryvale,11.26675248
4.01312E+13,0,14959,33.3285708,-111.9868636,Ahwatukee Foothills,0
4.01311E+13,534340,26730,33.5122135,-112.0214945,Camelback East,132.0380857
4.0131E+13,705135,2061,33.6193638,-112.1033272,North Mountain,174.2423842
4.01312E+13,415401,6817,33.4093043,-111.9904784,South Mountain,102.6476641
4.01311E+13,426792,21439,33.449254,-111.9460336,Camelback East,105.4624372
4.01311E+13,388,7172,33.4884291,-112.1512122,Maryvale,0.09587674
4.01312E+13,113758,9109,33.3386475,-111.9904867,Ahwatukee Foothills,28.11017059
4.0131E+13,192393,69339,33.5881776,-111.9723735,Paradise Valley,47.54127227
4.01312E+13,472620,750,33.302821,-112.1346082,Ahwatukee Foothills,116.7867651
4.01311E+13,35218,2423,33.504336,-112.0762122,Alhambra,8.70254389
4.01362E+13,418864,3756,33.6425071,-112.1634241,Deer Valley,103.5033887
4.01312E+13,3121911,13233,33.4156744,-112.1147488,Estrella,771.4398177
4.01311E+13,0,5219,33.5005163,-112.0929114,Encanto,0
4.01311E+13,25369,2537,33.5035849,-112.0806303,Alhambra,6.268806745
4.0131E+13,267925,34194,33.5896579,-112.1208241,North Mountain,66.20560713
4.01311E+13,7589,4929,33.5022973,-112.0845215,Encanto,1.875279845
4.01311E+13,61068,6782,33.4753524,-112.0275189,Camelback East,15.09020814
4.01311E+13,644,9597,33.4903993,-112.1427927,Maryvale,0.15913562
4.0131E+13,155053,188,33.5831098,-112.1483981,North Mountain,38.31437157
4.01312E+13,239448,2970,33.4185345,-112.0687668,South Mountain,59.16879804
4.0131E+13,30802,195,33.5751647,-112.1173256,North Mountain,7.61132821
4.01361E+13,35084510,139376,33.9461804,-112.2052186,Rio Vista,8669.557844
4.01312E+13,207757,722,33.3974724,-112.1283126,Laveen,51.33779349
4.01308E+13,1231050,363,33.3899523,-112.2442883,Estrella,304.1986103
4.01311E+13,362454,4601,33.4608658,-111.9426494,Camelback East,89.56419567
4.01312E+13,104346,9513,33.4903679,-112.1223674,Alhambra,25.78441833
4.01311E+13,289,1758,33.5103857,-111.9949503,Camelback East,0.071413345
4.01311E+13,0,3577,33.5237858,-112.0281145,Camelback East,0
4.0131E+13,999827,9689,33.634118,-112.0931632,Deer Valley,247.0622508
4.0131E+13,12800,380,33.5693342,-112.1170339,North Mountain,3.162944
4.01311E+13,111651,3320,33.4612286,-112.0070751,Camelback East,27.58952036
4.01361E+13,1482218,4083,33.7131463,-111.955404,Desert View,366.2634789
4.01361E+13,929420,3932,33.7759523,-112.1164816,North Gateway,229.6643291
4.01308E+13,387286,5683,33.4975094,-112.2759908,Maryvale,95.70030703
4.01306E+13,701062,3202,33.5149438,-112.3179068,Maryvale,173.2359255
4.01311E+13,175464,6018,33.469403,-112.0206005,Camelback East,43.35803172
4.01361E+13,4609689,6242,33.7112945,-112.0090239,Desert View,1139.0772
4.01311E+13,243810,6913,33.454961,-111.9980636,Camelback East,60.24667005
4.01311E+13,10421,2248,33.4567898,-112.0039551,Central City,2.575081205
4.01311E+13,227622,3330,33.4968306,-112.0494215,Camelback East,56.24653431
4.0131E+13,30125,160,33.5766426,-112.1170287,North Mountain,7.444038125
4.01311E+13,0,45167,33.4014254,-112.1933974,Estrella,0
4.0131E+13,0,18700,33.5719369,-112.1016103,North Mountain,0
4.01311E+13,221754,9949,33.5587666,-112.1049833,North Mountain,54.79652217
4.01311E+13,128210,6994,33.4820708,-112.0340812,Camelback East,31.68133205
4.01361E+13,0,28239,33.7114783,-112.0495803,Deer Valley,0
4.01361E+13,16760,807,33.7570811,-111.9669878,Desert View,4.1414798
4.01311E+13,0,6865,33.4563979,-112.0030992,Central City,0
4.01361E+13,2956418,265,33.7922808,-112.159028,North Gateway,730.5456699
4.01311E+13,0,7582,33.5438448,-112.0534135,Camelback East,0
4.01311E+13,0,9595,33.401293,-112.1920057,Estrella,0
4.01361E+13,1058163,22409,33.8015128,-112.2146329,Rio Vista,261.4773681
4.01311E+13,4884,342,33.4482164,-111.9886138,Camelback East,1.20686082
4.01312E+13,405442,42723,33.4254999,-112.1107061,Estrella,100.1867454
4.01311E+13,232411,2728,33.4579201,-112.0003149,Camelback East,57.42992016
4.01311E+13,149516,22352,33.5276175,-112.0341945,Camelback East,36.94615118
4.01361E+13,6902221,8946,33.8090925,-112.1561767,North Gateway,1705.57332
4.01311E+13,926,4477,33.4885642,-112.1549604,Maryvale,0.22881923
4.01361E+13,2701035,13400,33.7325318,-112.0200514,Desert View,667.4392537
4.01361E+13,5547385,28572,33.8081662,-112.1032252,North Gateway,1370.78657
4.01312E+13,232322,21936,33.3436524,-111.9772335,Ahwatukee Foothills,57.40792781
4.01311E+13,0,7858,33.4499565,-111.9507721,Camelback East,0
4.0131E+13,9185,11362,33.5879607,-112.1595704,North Mountain,2.269659425
