geoid,aland20,awater20,lat20,lon20,name,land_acre
40136147001059.0,43619,3534,33.6827644,-112.084331,Deer Valley,10.778473
40131167283000.0,938958,7129,33.3170002,-112.0748718,Ahwatukee Foothills,232.0212166
40131042054007.0,11285,208,33.5693811,-112.117563,North Mountain,2.788579925
40131171001000.0,9569,4998,33.5037144,-112.0726718,Encanto,2.364547745
40136122002000.0,20015454,2618,33.7526141,-112.0901571,Desert View,4945.918761
40131086022007.0,50205,1147,33.5006316,-112.0552911,Camelback East,12.40590653
40131086023008.0,66445,5148,33.5015601,-112.0583267,Camelback East,16.41889173
40131100022014.0,45595,4560,33.4889043,-112.1560105,Maryvale,11.26675248
40131167182006.0,0,14959,33.3285708,-111.9868636,Ahwatukee Foothills,0
40131078002004.0,534340,26730,33.5122135,-112.0214945,Camelback East,132.0380857
40131036093000.0,705135,2061,33.6193638,-112.1033272,North Mountain,174.2423842
40131152002000.0,415401,6817,33.4093043,-111.9904784,South Mountain,102.6476641
40131112041010.0,426792,21439,33.449254,-111.9460336,Camelback East,105.4624372
40131101001010.0,388,7172,33.4884291,-112.1512122,Maryvale,0.09587674
40131167081001.0,113758,9109,33.3386475,-111.9904867,Ahwatukee Foothills,28.11017059
40131032092000.0,192393,69339,33.5881776,-111.9723735,Paradise Valley,47.54127227
40131167301007.0,472620,750,33.302821,-112.1346082,Ahwatukee Foothills,116.7867651
40131088023003.0,35218,2423,33.504336,-112.0762122,Alhambra,8.70254389
40136181001013.0,418864,3756,33.6425071,-112.1634241,Deer Valley,103.5033887
40131173001024.0,3121911,13233,33.4156744,-112.1147488,Estrella,771.4398177
40131089013000.0,0,5219,33.5005163,-112.0929114,Encanto,0
40131088023004.0,25369,2537,33.5035849,-112.0806303,Alhambra,6.268806745
40131043022004.0,267925,34194,33.5896579,-112.1208241,North Mountain,66.20560713
40131089012000.0,7589,4929,33.5022973,-112.0845215,Encanto,1.875279845
40131115021016.0,61068,6782,33.4753524,-112.0275189,Camelback East,15.09020814
40131101001009.0,644,9597,33.4903993,-112.1427927,Maryvale,0.15913562
40131042033000.0,155053,188,33.5831098,-112.1483981,North Mountain,38.31437157
40131154001001.0,239448,2970,33.4185345,-112.0687668,South Mountain,59.16879804
40131042054001.0,30802,195,33.5751647,-112.1173256,North Mountain,7.61132821
40131166072005.0,207757,722,33.3974724,-112.1283126,Laveen,51.33779349
40130822063023.0,1231050,363,33.3899523,-112.2442883,Estrella,304.1986103
40131112041013.0,362454,4601,33.4608658,-111.9426494,Camelback East,89.56419567
40131169001009.0,104346,9513,33.4903679,-112.1223674,Alhambra,25.78441833
40131079003008.0,289,1758,33.5103857,-111.9949503,Camelback East,0.071413345
40131078001008.0,0,3577,33.5237858,-112.0281145,Camelback East,0
40131036041000.0,999827,9689,33.634118,-112.0931632,Deer Valley,247.0622508
40131044022012.0,12800,380,33.5693342,-112.1170339,North Mountain,3.162944
40131136011005.0,111651,3320,33.4612286,-112.0070751,Camelback East,27.58952036
40136133001063.0,1482218,4083,33.7131463,-111.955404,Desert View,366.2634789
40136113005011.0,929420,3932,33.7759523,-112.1164816,North Gateway,229.6643291
40130820022000.0,387286,5683,33.4975094,-112.2759908,Maryvale,95.70030703
40131115024006.0,175464,6018,33.469403,-112.0206005,Camelback East,43.35803172
40136133002003.0,4609689,6242,33.7112945,-112.0090239,Desert View,1139.0772
40131136012000.0,243810,6913,33.454961,-111.9980636,Camelback East,60.24667005
40131136022000.0,10421,2248,33.4567898,-112.0039551,Central City,2.575081205
