GEOID10,GEOID20,WEIGHT,PAREA
40130101011000,40130101031000,0.133601889,0.429673859
40130101011000,40130101031004,0.089501503,0.114153712
40130101011000,40130101031005,0.768763757,0.450958632
40130101011000,40130101031008,0.008132852,0.005213797
40130101011001,40130101031005,1,1
40130101011002,40130101031001,0.532294214,0.543901445
40130101011002,40130101031002,0.467705786,0.456098555
40130101011003,40130101031003,1,1
40130101011004,40130101031002,1,1
40130101011005,40130101031008,1,1
40130101011006,40130101031009,1,1
40130101011007,40130101031009,1,1
40130101011008,40130101031010,1,1
40130101011009,40130101031006,0.597222222,0.765378667
40130101011009,40130101031012,0.402777778,0.234621333
40130101011010,40130101031007,1,1
40130101011011,40130101031015,1,1
40130101011012,40130101031004,1,1
40130101011013,40130101031015,0.692752854,0.90328517
40130101011013,40130101031016,0.307247146,0.09671483
40130101011014,40130101031015,1,1
40130101011015,40130101031013,0.999843463,0.999849856
40130101011015,40130101031014,0.000156537,0.000150144
40130101011016,40130101031014,1,1
40130101011017,40130101031011,1,1
40130101011018,40130101031010,1,1
40130101011019,40130101031010,1,1
40130101011020,40130101031011,1,1
40130101011021,40130101031019,1,1
40130101011022,40130101031017,1,1
40130101011023,40130101031018,1,1
40130101011024,40130101031022,0.272727273,0.500696383
40130101011024,40130101031023,0.727272727,0.499303617
40130101011025,40130101031021,1,1
40130101011026,40130101031020,1,1
40130101011027,40130101031027,1,1
40130101011028,40130101031028,1,1
40130101011029,40130101031029,1,1
40130101011030,40130101031024,1,1
40130101011031,40130101031025,1,1
40130101011032,40130101031025,1,1
40130101011033,40130101031026,1,1
40130101011034,40130101031026,1,1
40130101011035,40130101031038,1,1
40130101011036,40130101031037,1,1
40130101011037,40130101031030,1,1
40130101011038,40130101031030,1,1
40130101011039,40130101031031,0.870577586,0.549400061
40130101011039,40130101031033,0.129422414,0.450599939
40130101011040,40130101031032,0.515173109,0.295837266
40130101011040,40130101031033,0.484826891,0.704162734
40130101011041,40130101031033,1,1
40130101011042,40130101031033,1,1
40130101011043,40130101031035,1,1
40130101011044,40130101031034,0.072026471,0.079906858
40130101011044,40130101031036,0.050223555,0.130280372
40130101011044,40130101031039,0.653346095,0.57703554
40130101011044,40130101031040,0.024023268,0.02098782
40130101011044,40130101031045,0.024023268,0.054417935
40130101011044,40130101031048,0.176357343,0.137371475
40130101011045,40130101031041,0.823529412,0.842353696
40130101011045,40130101031042,0.176470588,0.157646304
40130101011046,40130101031039,1,1
40130101011047,40130101031036,1,1
40130101011048,40130101031034,0.014410324,0.018034597
40130101011048,40130101031039,0.985589676,0.981965403
40130101011049,40130101031039,0.042871088,0.048332108
40130101011049,40130101031048,0.957128912,0.951667892
40130101011050,40130101031039,1,1
40130101011051,40130101031047,1,1
40130101011052,40130101031046,1,1
40130101011053,40130101031049,1,0.96950189
40130101011053,40130101031058,0,0.015569748
40130101011053,40130101031059,0,0.014928362
40130101011054,40130101031055,1,1
40130101011055,40130101031044,1,1
40130101011056,40130101032074,0.604790419,0.562477821
40130101011056,40130101032075,0.395209581,0.437522179
40130101011057,40130101032076,1,1
40130101011058,40130101032056,1,1
40130101011059,40130101032057,1,1
40130101011060,40130101032050,0,0.196427648
40130101011060,40130101032052,0.985548376,0.754127437
40130101011060,40130101032057,0.014451624,0.049444914
40130101011061,40130101032054,1,1
