zip,county_sub,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
85013,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85060,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85050,0401390867,PHOENIX,AZ,0.069479738,0.009042954,0.031620553,0.064049837
85050,0401392601,PHOENIX,AZ,0.930520262,0.990957046,0.968379447,0.935950163
85069,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85022,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85007,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85032,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85067,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85011,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85044,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85024,0401390867,PHOENIX,AZ,0.255493577,0.037037037,0.014571949,0.233257056
85024,0401392601,PHOENIX,AZ,0.744506423,0.962962963,0.985428051,0.766742944
85076,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85054,0401392601,PHOENIX,AZ,1.000000000,0.994987469,1.000000000,0.999736669
85054,0401390867,PHOENIX,AZ,0.000000000,0.005012531,0.000000000,0.000263331
85023,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85079,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85043,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85033,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85048,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85041,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85066,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85015,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85030,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85064,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85051,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85012,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85001,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85036,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85082,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85034,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85042,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85068,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85014,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85071,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
85045,0401392601,PHOENIX,AZ,1.000000000,1.000000000,1.000000000,1.000000000
