zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
85013,04013111800,PHOENIX,AZ,0,0.028017241,0.007518797,0.002299491
85013,04013110502,PHOENIX,AZ,0,0.026939655,0.001074114,0.00181172
85013,04013107500,PHOENIX,AZ,0.110470701,0.106681034,0.13104189,0.11156017
85013,04013110501,PHOENIX,AZ,0.236631444,0.355603448,0.171858217,0.24012264
85013,04013111900,PHOENIX,AZ,0.001040666,0.005387931,0.003222342,0.001463313
85013,04013106702,PHOENIX,AZ,0.041466539,0.034482759,0.032223416,0.040415302
85013,04013106703,PHOENIX,AZ,0.032660903,0.012931034,0.015037594,0.030241795
85013,04013108901,PHOENIX,AZ,0.072766571,0.073275862,0.064446831,0.072259773
85013,04013107400,PHOENIX,AZ,0.105667627,0.058189655,0.074113856,0.100550484
85013,04013108902,PHOENIX,AZ,0.071565802,0.079741379,0.12244898,0.075395443
85013,04013108802,PHOENIX,AZ,0.055715658,0.046336207,0.11707841,0.059089959
85013,04013110400,PHOENIX,AZ,0.110470701,0.063577586,0.121374866,0.108145774
85013,04013106600,PHOENIX,AZ,0.062600064,0.019396552,0.04726101,0.058811233
85013,04013117100,PHOENIX,AZ,0.098943324,0.089439655,0.091299678,0.097832904
85050,04013619500,PHOENIX,AZ,0,0.002262443,0,0.000182671
85050,04013617200,PHOENIX,AZ,0.072255892,0.049019608,0.032388664,0.069780186
85050,04013615100,PHOENIX,AZ,0.116161616,0.008295626,0.008097166,0.105827194
85050,04013615000,PHOENIX,AZ,0.3403367,0.113122172,0.117408907,0.318638495
85050,04013619600,PHOENIX,AZ,0,0.002262443,0,0.000182671
85050,04013617100,PHOENIX,AZ,0.063501684,0.000754148,0,0.057480363
85050,04013613300,PHOENIX,AZ,0.065185185,0.009049774,0.032388664,0.060159532
85050,04013615200,PHOENIX,AZ,0.001414141,0.101055807,0.425101215,0.015831456
85050,04013612400,PHOENIX,AZ,0.004781145,0,0,0.004323205
85050,04013619700,PHOENIX,AZ,0.001346801,0.029411765,0.032388664,0.004079644
85050,04013617300,PHOENIX,AZ,0.095218855,0.000754148,0.020242915,0.086464105
85050,04013619900,PHOENIX,AZ,0,0.001508296,0,0.00012178
85050,04013617000,PHOENIX,AZ,0.23979798,0.682503771,0.331983806,0.276928698
85022,04013103615,PHOENIX,AZ,0,0.000923361,0,3.65003E-05
85022,04013103607,PHOENIX,AZ,0.080470669,0.082179132,0.003533569,0.071796182
85022,04013103702,PHOENIX,AZ,0.000172406,0.014773777,0.002248635,0.000985509
85022,04013619100,PHOENIX,AZ,0.067367786,0.065558633,0.011564407,0.060955579
85022,04013619400,PHOENIX,AZ,0.08456532,0.060941828,0.022165114,0.076541227
85022,04013619000,PHOENIX,AZ,0.069738373,0.010156971,0.00546097,0.060079571
85022,04013103604,PHOENIX,AZ,0.017154433,0.093259464,0.009315773,0.019272183
85022,04013103701,PHOENIX,AZ,0.112021034,0.120036934,0.035656923,0.103660985
85022,04013103605,PHOENIX,AZ,0.042670575,0.024930748,0.000963701,0.037230354
85022,04013103614,PHOENIX,AZ,0.011292617,0.024007387,0.047542563,0.015914151
85022,04013618900,PHOENIX,AZ,0.071246929,0.067405355,0.131384517,0.07792824
85022,04013103606,PHOENIX,AZ,0.084737727,0.072022161,0.003854802,0.075044713
85022,04013103612,PHOENIX,AZ,0.078100082,0.031394275,0.397044651,0.112494069
85022,04013104802,PHOENIX,AZ,0.002456791,0.012003693,0.006745904,0.003321532
85022,04013103501,PHOENIX,AZ,0,0.013850416,0.000642467,0.000620506
85022,04013619200,PHOENIX,AZ,0.107064351,0.024930748,0.286540315,0.12421068
85022,04013103611,PHOENIX,AZ,0.104736865,0.166204986,0.018952779,0.097419425
85022,04013618800,PHOENIX,AZ,0.000517219,0,0,0.000438004
85022,04013103502,PHOENIX,AZ,0.015732081,0.111726685,0.01092194,0.01898018
85022,04013619300,PHOENIX,AZ,0.049954743,0.003693444,0.00546097,0.043070409
85007,04013114402,PHOENIX,AZ,0,0.008097166,0,0.001186662
85007,04013113100,PHOENIX,AZ,0,0.009716599,0,0.001423994
85007,04013111800,PHOENIX,AZ,0.003169837,0.012955466,0.003338898,0.004627981
85007,04013111900,PHOENIX,AZ,0.194694695,0.046963563,0.070116861,0.155334045
85007,04013114302,PHOENIX,AZ,0.15965966,0.139271255,0.324707846,0.180135279
85007,04013114200,PHOENIX,AZ,0.000834168,0.013765182,0.003338898,0.003085321
85007,04013114800,PHOENIX,AZ,0.171338005,0.177327935,0.100166945,0.162098018
85007,04013113000,PHOENIX,AZ,0.000333667,0.008097166,0.001669449,0.001661327
85007,04013114100,PHOENIX,AZ,0,0.00242915,0,0.000355999
85007,04013112900,PHOENIX,AZ,0.4004004,0.258299595,0.320534224,0.368221194
85007,04013117300,PHOENIX,AZ,0,0.000809717,0,0.000118666
85007,04013114900,PHOENIX,AZ,0.026526527,0.043724696,0.010016694,0.026699893
85007,04013114301,PHOENIX,AZ,0.043043043,0.27854251,0.166110184,0.09505162
85069,04013105501,PHOENIX,AZ,1,1,1,1
85032,04013104802,PHOENIX,AZ,0.006159176,0.006907761,0.000981997,0.005778299
85032,04013103303,PHOENIX,AZ,0.057068617,0.141405933,0.170540098,0.072174221
85032,04013103212,PHOENIX,AZ,0,0.009345794,0.126022913,0.011120499
85032,04013103205,PHOENIX,AZ,0.000256632,0.033319789,0.000981997,0.00253482
85032,04013103400,PHOENIX,AZ,0.059346229,0.034538805,0.070376432,0.058600671
85032,04013103216,PHOENIX,AZ,0.004106117,0.016253555,0.004255319,0.004933359
85032,04013103210,PHOENIX,AZ,0.118852853,0.088175538,0.019312602,0.108506637
85032,04013103304,PHOENIX,AZ,0.063452347,0.052417716,0.05695581,0.062171223
85032,04013103606,PHOENIX,AZ,0,0.026818367,0.006546645,0.002344027
85032,04013103215,PHOENIX,AZ,0.036666346,0.088988216,0.232733224,0.056501949
85032,04013619600,PHOENIX,AZ,0.02514997,0.020723283,0.003273322,0.023031426
85032,04013619800,PHOENIX,AZ,0.070990922,0.030069078,0.005237316,0.062770858
85032,04013619900,PHOENIX,AZ,0,0.002438033,0,0.000163537
85032,04013103208,PHOENIX,AZ,0.044365316,0.023161317,0.008183306,0.039930224
85032,04013103607,PHOENIX,AZ,3.2079E-05,0.041446566,0.006546645,0.003352503
