geoid,aland10,awater10,lat10,lon10,name,state_plac,land_acre
40136106003004,7091,0,33.8027374,-112.1241191,North Gateway,455000,1.752221555
40136100004012,20991,0,33.8670329,-112.159018,Rio Vista,455000,5.186981055
40136100004029,24391,0,33.866685,-112.1572797,Rio Vista,455000,6.027138055
40136100004004,26297,0,33.8704659,-112.1570864,Rio Vista,455000,6.498120185
40136100004008,18433,0,33.8649793,-112.1545925,Rio Vista,455000,4.554886465
40136100004014,16871,0,33.8642233,-112.1564359,Rio Vista,455000,4.168908455
40136119001043,24443,0,33.7285664,-112.1277649,Deer Valley,455000,6.039987515
40136119001012,47965,0,33.7295401,-112.1265493,Deer Valley,455000,11.85239133
40136114003008,12045,0,33.7386723,-112.2020298,Deer Valley,455000,2.976379725
40136114003003,16931,0,33.7386393,-112.1993374,Deer Valley,455000,4.183734755
40136106003033,11604,0,33.7996695,-112.1114636,North Gateway,455000,2.86740642
40136106003018,13495,0,33.8000061,-112.1146359,North Gateway,455000,3.334681975
40136123001018,82052,0,33.7211249,-112.0722464,Deer Valley,499999,20.27545946
40136118002010,23298,0,33.7118195,-112.1500616,Deer Valley,455000,5.75705229
40136118004000,51191,0,33.712158,-112.1369394,Deer Valley,455000,12.64955206
40136100002100,21031,0,33.8011659,-112.1360666,North Gateway,455000,5.196865255
40136145004000,23450,0,33.6961322,-112.113929,Deer Valley,455000,5.79461225
40136123001137,31469,0,33.7103956,-112.088055,Deer Valley,499999,7.776147245
40136123001060,77180,0,33.724722,-112.0979796,Deer Valley,499999,19.0715639
40136123001063,2671,0,33.7244386,-112.095703,Deer Valley,499999,0.660017455
40136145004013,1469,0,33.6906313,-112.1155097,Deer Valley,455000,0.362997245
40136161003009,5131,0,33.6687199,-112.1517745,Deer Valley,455000,1.267895755
40136120001044,24678,0,33.7707717,-112.1044021,North Gateway,455000,6.09805719
40136115003035,18052,0,33.7243323,-112.1783925,Deer Valley,455000,4.46073946
40136115003000,28972,0,33.7342851,-112.175301,North Gateway,455000,7.15912606
40136114003029,19638,0,33.7255566,-112.2018938,Deer Valley,455000,4.85264799
40136123001163,13189,0,33.6934319,-112.0549941,Deer Valley,455000,3.259067845
40136113001012,14179,0,33.7773545,-112.1103088,North Gateway,455000,3.503701795
