ZCTA5CE20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
85266,50807009,2649,33.762367,-111.9190911
85085,98725707,92484,33.7526141,-112.0901571
85310,23772356,23051,33.7009773,-112.158084
85032,32019180,16891,33.6259203,-112.0025027
85023,19200312,18972,33.634118,-112.0931632
85041,41414331,82231,33.386995,-112.1095736
85050,38583208,36816,33.6873743,-111.9989314
85054,22176901,9150,33.6810248,-111.9448816
85044,42727293,113619,33.3397208,-112.0061942
85051,16461419,118515,33.558759,-112.1324977
85029,24233517,80467,33.5954143,-112.1097496
85008,26483842,134615,33.4638841,-111.9877631
85043,52596367,50081,33.4330649,-112.1971719
85254,35530114,73857,33.6146027,-111.9496712
85251,18709941,95534,33.494489,-111.920714
85042,50358854,873,33.3555445,-112.0522417
85045,10287135,750,33.2988926,-112.1058768
85304,14151029,59632,33.5945473,-112.1795118
85031,10519493,31995,33.493971,-112.1669261
85307,26936856,247144,33.5303628,-112.3100447
85007,11923563,44584,33.4465287,-112.0903187
85083,51612083,25346,33.7453595,-112.1746347
85020,22745964,65272,33.5660608,-112.0556416
85014,10462589,25854,33.5072229,-112.0576902
85331,339633941,67191,33.8842285,-111.9396009
85040,26183089,9787,33.405566,-112.0254918
85013,9543731,21662,33.5111125,-112.0847312
85003,4817482,0,33.4505201,-112.0783435
85018,39064959,114139,33.5197843,-111.9935936
85012,5838585,14817,33.5075765,-112.0709811
85028,17743961,0,33.5816058,-112.0081356
85253,46889940,118592,33.5442421,-111.9588226
85053,13381583,0,33.6295949,-112.1318461
85034,29938438,47714,33.430385,-112.0149214
85086,158882522,112677,33.8225147,-112.1302858
85004,5315938,0,33.4516094,-112.0698796
85006,10273589,5283,33.4652342,-112.0487712
85022,24347628,4009,33.6271356,-112.0492217
85308,43771990,880214,33.6603822,-112.1849643
85015,12705032,30188,33.5086367,-112.1020557
85306,15167149,41845,33.6235616,-112.1752828
85016,21227642,196841,33.5101663,-112.031684
85035,14494236,0,33.4716683,-112.1953933
85353,55842296,18096,33.4175113,-112.2769735
85026,406488,0,33.4489047,-111.9735466
85024,30357702,83136,33.6895928,-112.0446986
85027,30385087,19669,33.6774731,-112.1022802
85339,668688326,1110720,33.2408936,-112.142689
85048,26210831,176276,33.3019827,-112.0289107
85009,37946592,100686,33.4445462,-112.1286749
85017,13630265,20005,33.508782,-112.1230681
85087,225633763,1143652,33.9250051,-112.1488754
85033,15845237,24992,33.4935889,-112.2140371
85021,17979059,78626,33.561061,-112.0949244
85019,9663476,16769,33.511534,-112.1433194
85037,21179608,34364,33.4867071,-112.2682581
