geoid,short_term_unit,short_term_rate,min_rate,max_rate,median,median_month
400100,392,318,39,3000,189,5670
400101,484,395,27,4000,165,4950
400102,580,453,30,20890,158.5,4755
400103,523,401,41,926,125,3750
400104,267,229,35,2000,140,4200
400105,541,421,49,2012,200,6000
400106,393,289,45,1350,150,4500
400107,339,291,30,10000,180.5,5415
400108,522,413,57,999,161,4830
400109,1395,1046,30,10000,143,4290
400110,5374,4368,24,19999,201,6030
400111,1336,1079,50,6677,232,6960
400112,1557,1333,0,11457,320,9600
400113,2239,1748,0,10000,301,9030
400114,620,480,29,6298,186,5580
400115,327,251,37,4120,154.5,4635
400116,813,598,30,6000,126,3780
400117,1618,1254,27,20000,166,4980
400118,1827,1383,25,5300,110,3300
400119,388,316,9,1213,139,4170
400120,478,395,10,3233,209,6270
400121,151,111,42,1900,196,5880
400122,32,26,62,1000,111,3330
400123,102,68,55,4500,158,4740
400124,396,251,25,10500,184.5,5535
400125,190,139,20,1000,142,4260
400126,441,310,25,5000,240,7200
400127,369,256,40,8821,189,5670
400128,362,268,52,4964,150,4500
400129,471,391,25,5445,203,6090
400130,326,256,43,3250,128,3840
400131,329,262,42,2950,173,5190
400132,676,539,46,7500,200,6000
400133,374,278,50,10000,173,5190
400134,357,265,20,5500,135,4050
400500,4357,3738,15,10499,190,5700
400800,865,730,15,2500,164,4920
400803,338,279,22,2500,159.5,4785
400805,282,241,38,1200,142,4260
400807,240,185,35,499,140.5,4215
