geoid,puma_lbl,e_19,e_20,e_21,e_22,e_m_19,e_m_20,e_m_21,e_m_22,e_m_c_19,e_m_c_20,e_m_c_21,e_m_c_22
400112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA",636,339,422,314,53,28,35,39,4.337862171,2.291700769,2.864625962,3.192011786
400113,Phoenix City (Northeast) PUMA,626,477,495,463,52,40,41,58,4.127311691,3.174855147,3.254226526,4.603539963
400114,Phoenix City (Northeast Central) PUMA,1926,1208,1484,1152,161,101,124,144,8.177985473,5.130289023,6.298572662,7.314471479
400115,Phoenix City (Northwest Central) PUMA,3679,1834,2332,1996,307,153,194,250,15.13508184,7.542890949,9.564188523,12.32498521
400116,Phoenix City (Uptown) PUMA,2789,1624,2955,2355,232,135,246,294,7.945205479,4.623287671,8.424657534,10.06849315
400117,Phoenix City (East) PUMA,1106,566,1883,1463,92,47,157,183,3.882839537,1.983624546,6.62615008,7.723474297
400118,Phoenix City--Downtown & Sky Harbor International Airport PUMA,2611,1574,2604,2207,218,131,217,276,6.398027764,3.844686409,6.368679013,8.100255334
400119,Phoenix City (South) PUMA,1764,834,1016,896,147,70,85,112,12.40715733,5.908170155,7.174206617,9.453072248
400120,Phoenix City--Ahwatukee & South Mountain PUMA,2048,971,1120,1025,171,81,93,128,13.76922458,6.522264272,7.488525646,10.30678799
400121,Phoenix (Southwest) & Tolleson Cities PUMA,1917,1053,1174,1052,160,88,98,132,14.39755242,7.918653829,8.818500855,11.87798074
400122,Phoenix City--Maryvale (East) PUMA,2524,1756,2108,1488,210,146,176,186,14.65559355,10.18912695,12.28278317,12.98066857
400123,Phoenix City--Maryvale (West) PUMA,3482,2028,2021,1535,290,169,168,192,19.89435412,11.59360637,11.52500515,13.17143445
400125,Phoenix City (West) PUMA,2925,1665,2157,1681,244,139,180,210,15.04222921,8.569138771,11.09672647,12.94618088
400128,Phoenix City (North) PUMA,1481,754,834,809,123,63,70,101,10.00325309,5.123617437,5.692908263,8.214053351
400129,Phoenix (Far North) & Peoria (Northwest) Cities PUMA,861,500,874,545,72,42,73,68,7.711256292,4.498232837,7.818357074,7.282853165
