geoid,med_19,med_19_infl,med_20,med_21,med_22,sales_19,sales_20,sales_21,sales_22,yoy_20,yoy_21,yoy_22,med_1922,medp_1922,sales_tot_2022,sales_1922,sales_1922
400100,378000,434700,413504.5,520000,620500,6419,6658,6607,5265,239,-51,-1342,185800,0.427,18530,24949,-1154
400101,310665,357264.75,340000,410000,490000,6495,6654,6654,5353,159,0,-1301,132735.25,0.372,18661,25156,-1142
400102,268000,308200,300000,375000,430500,3483,3306,3610,2765,-177,304,-845,122300,0.397,9681,13164,-718
400103,221000,254150,243000,310000,355000,1909,1764,1963,1469,-145,199,-494,100850,0.397,5196,7105,-440
400104,227000,261050,255000,320000,366000,2390,2318,2555,1995,-72,237,-560,104950,0.402,6868,9258,-395
400105,328310.5,377557.075,365000,469100,550000,3860,3749,3771,2763,-111,22,-1008,172442.925,0.457,10283,14143,-1097
400106,270000,310500,315000,385000,445000,2462,2571,2764,1956,109,193,-808,134500,0.433,7291,9753,-506
400107,380000,437000,415000,500000,591000,3661,3881,4012,2851,220,131,-1161,154000,0.352,10744,14405,-810
400108,315000,362250,352000,435000,500000,1943,1921,1984,1472,-22,63,-512,137750,0.38,5377,7320,-471
400109,272790,313708.5,300000,380000,438450,1752,1664,2131,1388,-88,467,-743,124741.5,0.398,5183,6935,-364
400110,382500,439875,450000,554250,664000,4870,4898,5776,3790,28,878,-1986,224125,0.51,14464,19334,-1080
400111,475000,546250,540000,655000,745000,4079,4299,4921,3380,220,622,-1541,198750,0.364,12600,16679,-699
400112,542500,623875,610000,725000,897812,5163,5821,6034,3895,658,213,-2139,273937,0.439,15750,20913,-1268
400113,375000,431250,434000,540200,679000,3159,3120,3549,2682,-39,429,-867,247750,0.574,9351,12510,-477
400114,260000,299000,300000,365000,430000,2636,2583,3075,2341,-53,492,-734,131000,0.438,7999,10635,-295
400115,236000,271400,265000,340000,395000,2149,1969,2398,1831,-180,429,-567,123600,0.455,6198,8347,-318
400116,270000,310500,310193,358710,410000,2219,2261,2452,1939,42,191,-513,99500,0.32,6652,8871,-280
400117,360000,414000,408962.5,475000,550000,2752,2810,3110,2126,58,300,-984,136000,0.329,8046,10798,-626
400118,250000,287500,279000,339000,395000,1724,1791,2099,1451,67,308,-648,107500,0.374,5341,7065,-273
400119,226000,259900,260000,325000,390000,2581,2315,2424,1922,-266,109,-502,130100,0.501,6661,9242,-659
400120,320000,368000,365100,450000,515000,2651,2651,3126,2191,0,475,-935,147000,0.399,7968,10619,-460
400121,236500,271975,266256,347021,425000,3151,3235,4059,3635,84,824,-424,153025,0.563,10929,14080,484
400122,173000,198950,198619,250000,300000,1365,1221,1465,1190,-144,244,-275,101050,0.508,3876,5241,-175
400123,195000,224250,220000,280000,350000,2143,1724,2195,1827,-419,471,-368,125750,0.561,5746,7889,-316
400124,215000,247250,255000,330000,395000,1749,1640,2113,1708,-109,473,-405,147750,0.598,5461,7210,-41
400125,209000,240350,235000,300000,350000,2029,2040,2543,1917,11,503,-626,109650,0.456,6500,8529,-112
400126,260365,299419.75,290700,375000,440000,2960,2706,3104,2312,-254,398,-792,140580.25,0.47,8122,11082,-648
400127,250000,287500,282000,357000,420000,2730,2770,3083,2136,40,313,-947,132500,0.461,7989,10719,-594
400128,260000,299000,290000,370000,430000,2833,2509,2802,1987,-324,293,-815,131000,0.438,7298,10131,-846
400129,367000,422050,418000,518000,591000,4720,4703,4349,2975,-17,-354,-1374,168950,0.4,12027,16747,-1745
400130,208000,239200,232450,286000,340000,5122,4876,5775,4597,-246,899,-1178,100800,0.421,15248,20370,-525
400131,264900,304635,300890,382500,450000,4752,4761,5136,3612,9,375,-1524,145365,0.477,13509,18261,-1140
400132,313990,361088.5,342495,411492.5,491451,5589,6253,7368,5950,664,1115,-1418,130362.5,0.361,19571,25160,361
400133,240000,276000,273000,355000,424450,2558,2418,3064,2558,-140,646,-506,148450,0.538,8040,10598,0
400134,262500,301875,294900,366439,440878.5,7665,8989,9755,8742,1324,766,-1013,139003.5,0.46,27486,35151,1077
400500,290000,333500,329000,393000,440000,7873,8725,9283,7146,852,558,-2137,106500,0.319,25154,33027,-727
400800,80000,92000,85500,115000,147238.5,179,210,239,224,31,29,-15,55238.5,0.6,673,852,45
400803,240000,276000,275000,365000,430000,6567,6778,6888,5896,211,110,-992,154000,0.558,19562,26129,-671
400805,234000,269100,264555,325000,389200,4359,4833,6053,5070,474,1220,-983,120100,0.446,15956,20315,711
400807,206585,237572.75,233000,301275,366211.5,5211,5616,7345,7012,405,1729,-333,128638.75,0.541,19973,25184,1801
