puma,can_tot,cant_tot,can_buy,cant_buy
0400113,83978,463749,0.153320906,0.846679094
0400114,170317,377410,0.310952354,0.689047646
0400115,187230,360497,0.341830876,0.658169124
0400116,175457,372270,0.320336591,0.679663409
0400117,108868,438859,0.198763252,0.801236748
0400118,188683,359044,0.344483657,0.655516343
0400119,197103,350624,0.359856279,0.640143721
0400120,120621,427106,0.220221023,0.779778977
0400121,181233,366494,0.33088199,0.66911801
0400122,266666,281061,0.48685933,0.51314067
0400123,239356,308371,0.436998724,0.563001276
0400125,221055,326672,0.403586093,0.596413907
0400128,168492,379235,0.307620402,0.692379598
0400129,91265,456462,0.166624979,0.833375021
0400112,46444,501283,0.084794067,0.915205933
