geoid,overall_19,studio_19,one_19,two_19,three_19,four_19,overall_22,studio_22,one_22,two_22,three_22,four_22,overall_1922,studio_1922,one_1922,two_1922,three_1922,four_1922,overall_1922p,studio_1922p,one_1922p,two_1922p,three_1922p,four_1922p
400100,1254,1167,1135,1353,1564,1948,1790,1526,1575,1845,2229,2578,347.9,183.95,269.75,289.05,430.4,337.8,0.241245406,0.137066428,0.20666539,0.185770751,0.239297231,0.150790108
400101,1189,1049,1003,1217,1431,1531,1723,1377,1483,1766,2108,2657,355.65,170.65,329.55,366.45,462.35,896.35,0.260101656,0.141459775,0.285708093,0.261834161,0.280952815,0.509101752
400102,1031,769,890,1055,1287,1182,1369,1092,1306,1525,1862,1384,183.35,207.65,282.5,311.75,381.95,24.7,0.154640914,0.234805224,0.276013679,0.256954461,0.258065606,0.018171117
400103,954,798,888,1044,1251,1177,1326,1085,1280,1475,1701,1160,228.9,167.3,258.8,274.4,262.35,-193.55,0.208640963,0.182303585,0.25342734,0.22855239,0.182358461,-0.142994348
400104,1062,744,977,1124,1440,1255,1471,1045,1395,1561,2096,1850,249.7,189.4,271.45,268.4,440,406.75,0.20445427,0.221365124,0.241600285,0.207643509,0.265700483,0.281829205
400105,1292,1188,1191,1357,1687,2561,1783,1475,1624,1812,2217,2300,297.2,108.8,254.35,251.45,276.95,-645.15,0.200026922,0.079636949,0.185704377,0.161129089,0.142754053,-0.219055057
400106,1301,1010,1176,1350,1665,1324,1661,1190,1521,1723,2179,1860,164.85,28.5,168.6,170.5,264.25,337.4,0.110182803,0.024537236,0.124667258,0.109822866,0.138007573,0.221594641
400107,1366,1235,1214,1477,1837,,1813,1626,1587,1929,2363,,242.1,205.75,190.9,230.45,250.45,0,0.154115475,0.144868861,0.136738056,0.135674546,0.118553407,
400108,1205,1057,1101,1353,1651,1678,1624,1387,1475,1721,2130,2132,238.25,171.45,208.85,165.05,231.35,202.3,0.171928559,0.141047263,0.164948861,0.106076673,0.121849735,0.104834948
400109,1088,911,987,1252,1638,2148,1495,1302,1374,1599,2268,3318,243.8,254.35,238.95,159.2,384.3,847.8,0.194852941,0.242781463,0.21051936,0.110570913,0.204013378,0.343211076
400110,1380,1047,1322,1460,1979,3958,1819,1495,1714,1924,2805,4868,232,290.95,193.7,245,529.15,316.3,0.146187776,0.241642789,0.127409064,0.145920191,0.232506536,0.06949052
400111,1338,,1191,1411,1761,,1807,,1615,1933,2363,,268.3,0,245.35,310.35,337.85,0,0.174367973,,0.179133355,0.191261209,0.166827149,
400112,1599,1413,1480,1774,2204,,2124,1669,1905,2358,3068,,285.15,44.05,203,317.9,533.4,0,0.155069745,0.027108526,0.119271445,0.155825695,0.210447408,
400113,1273,908,1133,1300,1670,,1636,1171,1478,1762,2235,,172.05,126.8,175.05,267,314.5,0,0.117524506,0.121432676,0.134348977,0.178595318,0.163759438,
400114,973,818,908,1042,1475,1547,1334,1129,1258,1483,1896,2316,215.05,188.3,213.8,284.7,199.75,536.95,0.192189106,0.200170086,0.204750048,0.237586581,0.117759764,0.301818386
