name,Hou_10E,Hou_20E,Pop_10E,Pop_20E,AREALAND_ACRE10,AREALAND10,AREALAND_ACRE20,AREALAND20,HouDen_10,PopDen_10,HouDen_20,PopDen_20
Ahwatukee Foothills,33508,34523,77310,80596,24191.491037525,97899642,24067.181159935,97396577.0,1.385115119527918,3.195751757511739,1.4344430189220065,3.3487926759852282
Alhambra,53144,53575,128662,146541,12303.690307115,49791345,12306.795181465,49803910.0,4.31935449230771,10.457187785813911,4.353286067577378,11.907324192792471
Camelback East,70649,75480,134960,145061,23794.84896476,96294486,23808.27442621,96348817.0,2.9690879780170345,5.671815786680336,3.170326360019849,6.092881718479588
Central City,22281,26082,56547,60516,13478.6881725,54546400,13480.89160787,54555317.0,1.6530540446405597,4.195289576872211,1.934738499401153,4.489020590052917
Deer Valley,70062,74894,164332,180505,35023.40271363,141734901,35316.915267275,142922706.0,2.000433840562673,4.69206265718,2.1206268846871095,5.1110069674532905
Desert View,19414,26444,42454,57998,42834.64405574,173345922,41956.335526845,169791528.0,0.4532312670729069,0.9911136402757387,0.6302742998868498,1.3823418864331234
Encanto,27582,30134,54523,58304,6594.517822775,26687108,6594.97200175,26688946.0,4.182565085311026,8.267928219360925,4.569238503515076,8.840674378076027
Estrella,22674,24836,81483,93616,23744.199358105,96089514,23794.67401352,96293778.0,0.9549279661122921,3.4317013082265104,1.0437629860315936,3.9343258052960888
Laveen,14210,17059,43171,61095,14340.370242025001,58033509,14480.842268045,58601980.0,0.9909088649857208,3.0104522596972942,1.1780392109956368,4.2190225450365455
Maryvale,63681,65239,204560,222119,19471.50581437,78798510,19312.63780929,78155593.0,3.270471252048895,10.505607627378998,3.378047092490801,11.50122537342639
North Gateway,6069,8877,15590,23319,24275.938430140002,98241389,28217.211286795,114191179.0,0.25000063406261486,0.6421996844679793,0.3145952273516919,0.8264105110526195
North Mountain,71473,72267,161333,173628,22211.86171623,89888354,22208.586834105,89875101.0,3.2177852047302884,7.263371349107377,3.254011637022394,7.81805710093022
Paradise Valley,76091,77508,167744,174433,26809.80227439,108495588,26891.56067017,108826453.0,2.838178335715879,6.2568160064439216,2.8822425351451355,6.486533159583158
Paradise Valley,76091,77508,167744,174433,9875.596545215001,39965183,9843.01451544,39833328.0,7.704952268110648,16.98570807667073,7.874416915510894,17.72150185559312
Rio Vista,1594,1573,4559,4828,19646.3726321,79506172,16048.63873683,64946637.0,0.08113457022573116,0.23205301484260246,0.09801454352574616,0.300835483879404
South Mountain,38674,42460,111304,126259,24056.873175265,97354862,23937.981570245,96873724.0,1.6076070949970407,4.626702696942407,1.7737502168009829,5.274421305300878
US,131704730,140498736,308745538,331449281,2261140912.323012,9150526749046,2261140912.323012,9150526749046.0,0.058247024447800326,0.13654413854411504,0.062136214171480735,0.14658497362708872
Maricopa,1639279,1812827,3817117,4420568,5889181.847793375,23832710175,5889137.505295335,23832530727.0,0.2783542845793127,0.6481574348787074,0.30782555142751555,0.7506308005247216
AZ,2844526,3082000,6392017,7151502,72738577.23165794,294363032847,72738072.74900888,294360991275.0,0.03910615395927733,0.08787657448457775,0.04237120786296878,0.09831855216561873
San Antonio,524246,592430,1327407,1434625,295324.30515713,1195136906,319265.111383405,1292022061.0,1.775153588259761,4.49474349662396,1.8556051973012224,4.493522620694877
Dallas,516639,572194,1197816,1304379,218607.45080886,884674332,217331.45841143,879510566.0,2.3633183502593633,5.4793008910172665,2.6328171916869025,6.0017956421692125
Jacksonville,366273,411541,821784,949611,478421.50871312,1936106144,478262.33602737,1935461994.0,0.765586398874954,1.7176986925409605,0.8604921797070977,1.9855441845741657
Indianapolis,384414,402518,829718,897041,234674.2149436,949694320,234612.14809812,949443144.0,1.638075150661045,3.5356163871663906,1.7156741595139313,3.82350618785877
Queen Creek,8557,19628,26361,59519,18001.43072439,72849318,25811.183508075002,104454315.0,0.4753511057543991,1.4643836039256415,0.7604455639881604,2.3059384309665436
Rio Verde,1647,1676,1811,2210,3228.0181133300002,13063346,2770.558804455,11212071.0,0.5102201853201396,0.5610253525287023,0.604932115970622,0.7976730168825028
St. Johns,139,146,476,690,1459.72583755,5907310,1459.72583755,5907310.0,0.0952233607327916,0.32608863099862445,0.10001878177688901,0.47269150291817413
Buckeye,18207,30860,50876,91502,239963.600511385,971099737,251507.96977047002,1017818214.0,0.07587400739611828,0.21201548856400912,0.1226998891055552,0.3638135208339764
Carefree,2251,2536,3363,3690,5639.6131677,22822740,5637.99413574,22816188.0,0.3991408511655107,0.5963174955440304,0.4498053632095777,0.6544880876353871
Cave Creek,2579,2739,5015,4892,24330.22418498,98461076,24133.102101750002,97663350.0,0.10599984531141796,0.20612222731165608,0.11349556258668389,0.20270912456153983
Chandler,94404,108388,236123,275987,41248.95249083,166928846,41792.3101927,169127740.0,2.288639936274426,5.7243393041918385,2.593491470087061,6.6037746831283695
Citrus Park,1385,1680,4028,5194,3711.6905677100003,15020702,3711.6905677100003,15020702.0,0.37314532952958485,1.085219774256439,0.452623937624334,1.399362340488566
Maricopa Colony,201,227,709,854,3550.809645095,14369639,3510.3835142000003,14206040.0,0.056606808049442014,0.19967277068186262,0.06466529912807326,0.2432782619179496
Mesa,201173,220082,439041,504258,87393.43730309501,353669239,88770.82899017,359243354.0,2.301923419058327,5.02372962488399,2.4792153289947385,5.68044712138307
New River,6273,6942,14952,17290,35703.416150310004,144486822,35913.265376565,145336053.0,0.17569747313789,0.41878345581982007,0.19329904778110105,0.48143770327502694
Paradise Valley,5643,5728,12820,12658,26809.80227439,108495588,26891.56067017,108826453.0,0.210482716069505,0.4781833102979008,0.21300362854558672,0.47070529506460135
Paradise Valley,5643,5728,12820,12658,9875.596545215001,39965183,9843.01451544,39833328.0,0.5714085193905769,1.2981494273590635,0.5819355433251587,1.2859881472433412
Aguila,304,241,798,565,1005.157657175,4067735,1005.157657175,4067735.0,0.3024401175576708,0.7939053085888859,0.23976338266907457,0.5621008763818554
Anthem,8801,9278,21700,23190,5109.71922886,20678332,5062.4737412800005,20487136.0,1.7224038358685982,4.246808685189022,1.8327008640748312,4.580764500743192
Arlington,99,76,194,150,1466.6853027700001,5935474,1466.6853027700001,5935474.0,0.06749914232659683,0.13227104657939176,0.05181752340223595,0.10227142776757095
Avondale,27001,29084,76238,89334,29098.573539755,117757931,30257.702075325,122448765.0,0.9279149015023277,2.6199909729541297,0.9612098079225208,2.952438350328375
Wittmann,301,268,763,684,617.4103753750001,2498575,617.4103753750001,2498575.0,0.48752015192031706,1.2358068967282456,0.43407109871975075,1.1078531027026475
Wintersburg,173,24,136,51,317.05474208500004,1283077,317.05474208500004,1283077.0,0.5456470982339698,0.42894800786023063,0.07569670726945246,0.1608555029475865
Youngtown,2831,2724,6156,7056,979.16048144,3962528,951.6673320350001,3851267.0,2.8912523060944992,6.287018437413542,2.8623447588298827,7.414355586748771
