name,Hou_10E,Hou_O_10E,Hou_V_10E,P_As_10E,P_Bl_10E,P_Hi_10E,P_Ot_10E,P_Wh_10E,Pop_10E,land_acre_x,Hou_20E,Hou_O_20E,Hou_V_20E,P_As_20E,P_Bl_20E,P_Hi_20E,P_Ot_20E,P_Wh_20E,Pop_20E,land_acre_y
Ahwatukee Foothills,33528,31300,2228,4693,3969,9554,3169,55959,77344,29912.92733967,34527,32555,1972,5389,4876,12864,6270,51205,80604,29844.149614219998
Alhambra,52611,43993,8618,4786,7764,61969,5827,47418,127764,12513.91785037,53582,49198,4384,7084,13579,69749,9381,46457,146250,12596.49836483
Camelback East,70693,60088,10605,2946,7570,44591,6685,73450,135242,24455.83556375,75483,67484,7999,4285,9194,42790,10225,78860,145354,24347.16916431
Central City,22418,18084,4334,628,5299,37634,2089,11373,57023,14408.50944464,26236,22695,3541,1146,7459,33601,3411,15430,61047,14040.4270266
Deer Valley,70462,64034,6428,7129,4753,27348,5662,120764,165656,37131.17945046,75321,71112,4209,11518,7565,34800,11355,116602,181840,37094.45075173
Desert View,22136,19398,2738,2102,686,3409,1162,41748,49107,46055.7439658,29184,26089,3095,4870,1099,5128,3315,50595,65007,47654.690491
Encanto,27669,22699,4970,1638,3061,24428,2894,22593,54614,6847.8595053,30129,26871,3258,1909,3861,23260,4161,25456,58647,6780.1497701
Estrella,24785,21146,3639,1459,6529,61927,2330,13802,86047,29330.96343651,25571,23944,1627,1446,8138,70334,3466,12741,96125,29691.80320871
Laveen,15884,13979,1905,3183,8073,22141,2007,12430,47834,16286.451106299999,18677,18136,541,3102,12276,33689,4064,12916,66047,15556.668990299999
Maryvale,64557,55360,9197,2839,10799,157608,4854,31852,207952,25624.51693077,67598,64016,3582,3910,15472,173614,8037,28463,229496,26803.51295654
North Gateway,6767,6057,710,808,362,1406,534,13310,16420,32673.7932087,9426,8826,600,1501,783,2614,1524,17408,23830,26450.2071698
North Mountain,71838,63231,8607,4810,7625,47704,7490,94155,161784,22003.70318127,72654,67630,5024,5523,12771,57429,11884,86282,173889,22041.72596874
Paradise Valley,75999,68543,7456,5689,3433,27779,4522,126191,167614,26619.5679943,77409,71515,5894,9923,4265,33411,9488,117409,174496,26729.85540461
Rio Vista,2568,2095,473,211,306,1015,268,5244,7044,79345.586245,2078,1868,210,203,308,1075,484,4602,6672,55294.1681695
South Mountain,38476,33726,4750,1973,17533,68827,3729,18492,110554,20233.08144692,42278,39809,2469,3288,17942,76052,6541,21759,125582,20433.87674539
Phoenix,590149,514806,75343,43894,86788,589877,52500,672573,1445632,,630752,583009,47743,63996,118527,661574,92291,671751,1608139,
US,131704730,116716292,14988438,14465124,37685848,50477594,9299420,196817552,308745538,,140498736,126817580,13681156,19618719,39940338,62080044,18112533,191697647,331449281,
Maricopa,1639279,1411583,227696,128301,177490,1128741,142530,2240055,3817117,,1812827,1643579,169248,197910,245239,1351415,268433,2357571,4420568,
AZ,2844526,2380990,463536,170509,239101,1895149,391611,3695647,6392017,,3082000,2705878,376122,248837,317161,2192253,576704,3816547,7151502,
Tempe,73462,66000,7462,9035,9021,34092,8860,100711,161719,,82626,75530,7096,17169,11393,39698,14676,97651,180587,
Scottsdale,124001,101273,22728,7128,3484,19225,5537,182011,217385,,136490,114950,21540,11949,4601,23533,11768,189510,241361,
Glendale,90505,79114,11391,8618,12766,80501,7970,116866,226721,,91912,86483,5429,11272,17872,97617,13869,107695,248325,
San Antonio,524246,479642,44604,30596,83365,838952,21388,353106,1327407,,592430,538253,54177,45491,93810,916010,43501,335813,1434625,
Dallas,516639,458057,58582,33609,294159,507309,17534,345205,1197816,,572194,523520,48674,47820,298764,551174,40228,366393,1304379,
Jacksonville,366273,323106,43167,34731,247516,63485,23527,452525,821784,,411541,378587,32954,47821,284328,110081,53586,453795,949611,
Indianapolis,384414,336186,48228,17114,224352,77780,22234,488238,829718,,402518,365646,36872,37738,246734,116844,44532,451193,897041,
