name,Hou_10E,Hou_O_10E,Hou_V_10E,P_As_10E,P_Bl_10E,P_Hi_10E,P_Ot_10E,P_Wh_10E,Pop_10E,Hou_20E,Hou_O_20E,Hou_V_20E,P_As_20E,P_Bl_20E,P_Hi_20E,P_Ot_20E,P_Wh_20E,Pop_20E
Ahwatukee Foothills,33508,31283,2225,4693,3968,9552,3169,55928,77310,34523,32551,1972,5389,4876,12863,6269,51199,80596
Alhambra,53144,44287,8857,4884,7843,62572,5864,47499,128662,53575,49225,4350,7264,13910,69682,9366,46319,146541
Camelback East,70649,60057,10592,2946,7565,44328,6681,73440,134960,75480,67452,8028,4287,9173,42496,10195,78910,145061
Central City,22281,17964,4317,627,5307,37177,2086,11350,56547,26082,22552,3530,1147,7455,33122,3408,15384,60516
Deer Valley,70062,63652,6410,7039,4761,27244,5673,119615,164332,74894,70716,4178,11457,7648,34653,11275,115472,180505
Desert View,19414,16957,2457,1863,616,2903,1011,36061,42454,26444,23536,2908,4485,1029,4620,2972,44892,57998
Encanto,27582,22606,4976,1548,3065,24432,2892,22586,54523,30134,26829,3305,1725,3535,23270,4194,25580,58304
Estrella,22674,19527,3147,1361,6141,59146,2153,12682,81483,24836,23257,1579,1413,8117,68460,3347,12279,93616
Laveen,14210,12509,1701,3089,7944,19799,1872,10467,43171,17059,16589,470,3040,12153,30872,3866,11164,61095
Maryvale,63681,54572,9109,2565,10592,156811,4736,29856,204560,65239,61846,3393,3343,14784,170894,7571,25527,222119
North Gateway,6069,5418,651,707,519,1802,601,11961,15590,8877,8305,572,1636,874,2870,1613,16326,23319
North Mountain,71473,62929,8544,4729,7590,47775,7430,93809,161333,72267,67344,4923,5378,12671,57462,11901,86216,173628
Paradise Valley,76091,68608,7483,5749,3447,27686,4550,126312,167744,77508,71534,5974,9977,4277,33385,9477,117317,174433
Rio Vista,1594,1386,208,204,122,452,143,3638,4559,1573,1479,94,176,124,545,299,3684,4828
South Mountain,38674,33904,4770,1972,17537,69578,3726,18491,111304,42460,39982,2478,3286,17948,76744,6548,21733,126259
US,131704730,116716292,14988438,14465124,37685848,50477594,9299420,196817552,308745538,140498736,126817580,13681156,19618719,39940338,62080044,18112533,191697647,331449281
Maricopa,1639279,1411583,227696,128301,177490,1128741,142530,2240055,3817117,1812827,1643579,169248,197910,245239,1351415,268433,2357571,4420568
AZ,2844526,2380990,463536,170509,239101,1895149,391611,3695647,6392017,3082000,2705878,376122,248837,317161,2192253,576704,3816547,7151502
San Antonio,524246,479642,44604,30596,83365,838952,21388,353106,1327407,592430,538253,54177,45491,93810,916010,43501,335813,1434625
Houston,892646,782643,110003,124859,485956,919668,31067,537901,2099451,998195,896482,101713,165189,509479,1013423,70500,545989,2304580
Jacksonville,366273,323106,43167,34731,247516,63485,23527,452525,821784,411541,378587,32954,47821,284328,110081,53586,453795,949611
